"latinName";"kiswahiliName";"fishingGround";"date";"lunarCycle";"month";"season";"metier";"wpue";"reef";"depth.int.std";"seagrass.int.std";"temperature.std";"X.utm";"Y.utm"
"2";"Lutjanus fulviflamma";"Changu ginge kawaida";"Badeni";"2014-04-09";1;4;"SEMS";88;0.0585714285714286;1;NA;NA;-2.23895146369445;557616.000000005;9322161
"3";"Lethrinus mahsena";"Changu tuku";"Badeni";"2014-04-09";1;4;"SEMS";88;0.335714285714286;1;NA;NA;-2.23895146369445;557616.000000005;9322161
"5";"Leptoscarus vaigiensis";"Pono bodwe";"Badeni";"2014-04-09";1;4;"SEMS";88;0.0307142857142857;1;NA;NA;-2.23895146369445;557616.000000005;9322161
"7";"Siganus sutor";"Tasi uzi";"Badeni";"2014-04-09";1;4;"SEMS";88;0.0507142857142857;1;NA;NA;-2.23895146369445;557616.000000005;9322161
"14";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-04-17";2;4;"SEMS";59;1.28;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"16";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-04-17";2;4;"SEMS";59;0.206666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"18";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-04-17";2;4;"SEMS";59;1.69333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"21";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-04-17";2;4;"SEMS";59;3.10666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"23";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;3.61333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"25";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;0.0633333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"27";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;0.0766666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"29";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;3.13666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"32";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;5.56;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"33";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;0.13;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"35";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-04-23";4;4;"SEMS";59;18.83;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"42";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-04-24";4;4;"SEMS";92;3.8;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"43";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-04-24";4;4;"SEMS";92;1.375;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"46";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-04-29";3;4;"SEMS";72;4;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"48";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-04-30";3;4;"SEMS";109;0.13;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"53";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-04-30";3;4;"SEMS";109;0.05;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"58";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-04-30";3;4;"SEMS";83;0.02;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"60";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-12-08";2;12;"NEMS";42;1.325;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"61";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-12-08";2;12;"NEMS";42;0.185;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"62";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-12-08";2;12;"NEMS";42;4.49;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"63";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-12-08";2;12;"NEMS";42;0.116666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"64";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-12-08";2;12;"NEMS";42;2.45;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"66";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-12-13";2;12;"NEMS";59;1;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"84";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-02-27";4;2;"NEMS";82;2.16666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"88";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-06-21";4;6;"SEMS";59;1.59333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"89";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-06-21";4;6;"SEMS";59;0.483333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"92";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-06-21";4;6;"SEMS";59;2.53333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"93";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-06-28";3;6;"SEMS";59;0.233333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"94";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-06-28";3;6;"SEMS";59;2.43333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"101";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-06-04";3;6;"SEMS";85;0.12;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"102";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-06-04";3;6;"SEMS";85;0.06;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"105";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-06-04";3;6;"SEMS";85;0.17;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"112";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-06-22";4;6;"SEMS";91;0.23;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"122";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-06-29";3;6;"SEMS";114;0.155;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"126";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-03-17";2;3;"NEMS";21;7.66666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"130";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0349;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"131";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0264;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"132";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0603;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"137";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.1334;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"140";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.459;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"143";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0575;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"144";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.023;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"145";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0575;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"148";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.0116666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"151";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-03-18";2;3;"NEMS";21;0.369666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"158";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-03-22";2;3;"NEMS";59;0.405333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"159";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-03-22";2;3;"NEMS";59;0.414666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"162";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-03-22";2;3;"NEMS";59;0.238666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"163";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-03-22";2;3;"NEMS";59;0.169333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"165";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-03-22";2;3;"NEMS";42;0.335;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"180";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-12";1;5;"SEMS";21;0.6009;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
